CÓDIGO;PREENCHEDORES;Dosagem;Cliente One;Cliente Elite;Cliente Plus;Cliente Essential;Faixa Inicial
9980012;RENNOVA FILL;1ML;159.99;168.99;176.99;183.99;198.99
9006974;RENNOVA FILL LIDO;1ML;178.99;190.99;199.99;207.99;224.99
9263484;RENNOVA FILL SOFT LIPS LIDO;1ML;219.99;234.99;245.99;255.99;269.99
9253592;RENNOVA FILL FINE LINES LIDO;1,1ML;175.99;187.99;196.99;204.99;219.99
9253626;RENNOVA FILL EYES LINES LIDO;1,1ML;193.99;207.99;216.99;225.99;243.99
9980020;RENNOVA LIFT;1ML;183.99;192.99;201.99;209.99;226.99
9006982;RENNOVA LIFT LIDO;1ML;194.99;205.99;214.99;223.99;242.99
9253683;RENNOVA LIFT LIPS PLUS LIDO;1ML;263.99;281.99;294.99;306.99;331.99
9123886;RENNOVA LIFT PLUS LIDO;1ML;240.99;253.99;265.99;276.99;298.99
9124736;RENNOVA DEEP LINE LIDO;1ML;231.99;243.99;254.99;265.99;286.99
9195058;RENNOVA ULTRA VOLUME LIDO;1ML;224.99;236.99;247.99;258.99;278.99
9161530;RENNOVA ULTRA VOLUME LIDO 2ML;2ML;401.99;422.99;442.99;461.99;498.99
9263062;RENNOVA FILL HYALURONIC 30;3ML;351.99;370.99;387.99;403.99;436.99
9215468;RENNOVA LIFT SHAPE LIDO;2ML;331.99;349.99;365.99;380.99;411.99
